ID;Nombres_adultes;Nombre_personnes_foyer;Age_2eme_personne;Note_credit;Encours_credit;ID_PP;Encours_credit_habitat;Montant_flux_crediteur_M1;Montant_obligations;Montant_operation_crediteur_DAV_M1;Montant_operation_crediteur_DAV_M;Montant_operation_debiteur_DAV_M1;Montant_operation_debiteur_DAV_M;Montant_retrait_carte_M;Montant_retrait_carte_M1;CSP;Nombre_retrait_carte_M1;Nombre_retrait_carte_M1.1;Quantité_obligations;Nombre_connexion_appli_6M;Nombre_de_connexion_appli_semaine_6M;Nombre_connexion_site_6M;Duree_connexion_moyenne_6M;Montant_flux_crediteur_M;Montant_pret_banque;Output
0;2.092067618;5.180421984;48.65553202;6.315518292;228465.501;7a4e9fd9346e82e492189ed672e0c0a2678e0561;229474.8931;7130.956423;11886.56549;3205.417018;2810.653605;3501.480783;7719.664725;-11.22003249;-18.5687169;CSP+;-0.13653032;-0.150595375;209247.5726;5.591853818;8.60071085;10.03812629;13.48816265;553.9514482;131660.1114;FAUX
1;1.071027249;1.110025525;3.524383756;6.486460925;-3852.185408;40cabc5772ae1591ef26b82092a7a01086e6d40d;-4744.370974;6898.602702;13720.57259;14619.2799;13210.90698;10842.77876;9287.820133;-15.11700231;-21.87575503;CSP+;0.009752444;0.024207116;59897.59825;4.517982156;6.156864866;7.391420535;12.83155416;11872.1154;137001.1059;FAUX
2;1.968758139;4.875667427;37.20192579;5.992136544;93931.33039;78e32f1757f08f3fad462a9e74b1b77d3b9f4411;95023.49614;4284.271162;-1439.509836;-3166.14704;-1501.710643;-1929.770948;-621.9399801;-3.489376546;-21.17998453;CSP+;-0.051772469;-0.037924278;-116640.1009;-1.974646251;-3.85054346;-5.318503653;-8.802449214;-974.2788183;130454.9718;FAUX
3;2.117645892;2.125038998;62.28269863;0.266512463;1744.770042;013c0911d509a22f9678f3c0cdb0ea082523f9e2;1562.448092;5573.594285;-5301.066173;7061.411546;4139.226842;2293.63119;1273.166027;-3.205753538;-19.44568834;CSP-;0.059676565;0.007057937;-309925.4925;53.52575266;59.28606199;81.11338064;68.96294331;4165.18013;133395.37;VRAI
4;1.037637637;1.167145689;0.539640555;6.70485613;182124.06;70a577c9509562b1d97f70951afa1acb5d8c632e;181187.0862;173971.2704;6002.374933;4560.546538;-41.76362818;356489.8749;3507.90817;-3.246341467;10.44369727;CSP+;-0.042612879;-0.033413027;274475.755;12.05188283;10.38010993;12.53713005;96.26495149;4407.00285;180803.3372;FAUX
5;1.064345934;3.028542803;3.594179119;-0.505368515;-3608.37839;fc54d1166d0e2eb7c44669d955f700a1d0f62a82;-3400.043836;4947.816278;-3945.871658;-319.7328263;1957.340721;474.6463092;7378.027219;19.79708582;20.417145;CSP-;0.085202403;0.005756161;-61994.59967;-0.108581615;-2.900491005;-4.390503171;179.4513737;2371.06974;129290.261;FAUX
6;0.937956238;0.896159141;-2.105627271;12.95992627;97066.15596;b0776bf993aa97ecafccde14b5714f3a863b13f8;93191.48362;-680.6853293;13231.76628;-507.5032532;562.3873665;-179.2449947;3429.104614;9.149020325;11.19425363;CSP-;0.011492305;0.037752212;301955.5261;5.315944703;5.877244284;6.508806866;186.4066519;-726.7602893;111307.902;FAUX
7;1.983217722;2.02614191;52.84776603;6.100320449;127267.1459;b796a6c84d5ae33b37c83e565bf30ff1c466ec6e;128267.4041;-4809.701412;-43.95316501;2235.811841;2243.879563;2600.921869;651.5432212;24.73546927;7.037587699;CSP-;0.195479866;0.199326363;110483.3665;117.5680823;101.919467;130.9053489;19.97355;3172.993075;139618.8703;VRAI
8;1.958148561;2.028077771;31.95244231;0.127159495;5735.325617;f47f17f4c61ac9b398dfa40a8b8e7db45f49a14b;4804.07633;1927.656035;3573.012927;-902.4565238;484.7353665;-1242.595281;1473.929218;-13.56297167;3.451917852;CSP-;-0.042784512;2.002002352;225815.0526;-6.133940986;-9.350755811;-12.64816521;-30.58890608;1629.000764;129908.3859;FAUX
9;1.922497174;2.786888447;25.58687358;6.836385881;94878.77747;e4e7d990f34a87f19e93ac18897889fe2390b804;94680.98928;4803.21119;-1317.345288;47600.28444;3640.541423;47961.88605;2412.894192;11.24907907;3.793853934;CSP+;0.010816358;0.026467319;-151047.7457;37.51662006;45.56557116;70.76086302;107.6450522;46217.75827;95982.83364;FAUX
10;2.015196051;2.918542196;27.54006781;-0.592021224;11314.39974;40d57bc210dd4b52f3c7ee08e656eb2e022331b0;13028.67465;3333.585396;12805.90827;5707.819736;2365.435356;5886.391259;-3504.020532;-5.542520375;-9.615272913;CSP+;0.020758549;0.013652108;120589.53;-1.063374322;-1.802154653;-2.374046986;-11.0460404;3098.492981;139977.2441;FAUX
11;1.928620322;1.898192402;38.12423793;13.02994634;591171.122;21c8e6ad60ecdc1db8a48f7b671b3bf86a7d5a69;529596.5686;8384.826298;5202.416215;85535.95402;64885.47697;85459.83371;32746.41711;-17.35496349;-18.24154558;CSP+;0.095088553;0.068872323;-44981.10599;124.0200146;153.1336279;196.5622743;13.40945719;38979.80763;178763.1021;VRAI
12;0.970582464;0.929907769;-1.554608497;0.068953017;-10757.98164;a4418e5777717fd383aa7a707481ccf18f0191c8;-11213.53258;-1790.185351;34978.20686;28118.47771;20907.16004;-1610.875942;-4603.043037;10.89600863;11.30217043;CSP-;0.134746532;0.073591568;3111085.923;-9.786592693;-8.642256856;-11.4666866;-17.9687442;-1189.909759;124964.7074;FAUX
13;1.994955713;4.001899869;47.19424887;-0.720068787;-15248.67776;ac2416333420b038f471fe4d338b6e2a36f86943;-15050.32842;-6989.589482;4586.28426;6496.08022;2188.721337;29236.26705;4792.819079;9.286548124;12.42737069;CSP+;0.08151408;0.022726766;-111899.5296;12.61958981;13.17270059;23.99843848;408.4549688;1616.400862;131379.3319;VRAI
14;1.915142459;1.867699365;54.44703613;6.022605909;-19095.39098;67f192ef65ae2ec2ec340d5cd48195291f6928e8;-18987.43495;15763.42213;-4158.899405;8119.66367;9766.576791;15123.44829;12460.98973;-9.267642064;5.119091518;CSP+;-0.02086537;-0.047643242;-230815.5891;37.99465442;78.92496026;90.68135239;199.6738031;7419.759089;137232.1348;VRAI
15;0.920404949;0.865029988;-2.639511073;13.21707206;16351.24271;61af09a6cdac88c2e3b2ff9fbca4c74e061d023a;2689.088875;-2332.552685;10450.0456;-748.3385377;-3017.024856;-235.5046535;130.924627;16.45692249;0.475668835;CSP+;0.03676937;0.108055427;248012.545;194.604509;242.7094835;354.8943592;21.94557974;-2089.267584;3187.760795;FAUX
16;1.932669938;1.768197343;23.59532919;6.555150657;260386.3635;095a26505e630f1bff4d85cfb934d5dc09779b4e;260649.3416;24866.89184;4482.389097;15008.13417;11001.41813;10782.67552;6761.234478;12.97062854;-10.89452788;CSP+;0.093470183;0.123103318;-157254.2894;18.36952976;16.05748935;30.73416204;245.8383902;10478.67054;258365.1701;VRAI
